,Tweet,User,retweet_counts,Like_count,Verfication
1706,"https://t.co/gW270us74L

29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#Iamwithfarmers

#India

#FLOP #DEMONETIZATION

#4YearsOfDeMoDisaster

#DeMonetisation",28278458,0,4311,False
1707,"https://t.co/gW270us74L

29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#Iamwithfarmers

Angry People for Rs 500 Ban (Jamshedpur) Jharkhand 13th Nov 2016 

#Rs500Banned
#JharkhandNews
#IndiaNews
#WorldNews",28278458,1,4311,False
1708,"Tension at #SinghuBorder (Delhi-Haryana border): Tents uprooted, stones pelted amid heavy police deployment

NDTV's Arvind Gunasekar reports from the protest site | #farmersprotest https://t.co/bs6ywEgtiL",37034483,1284,3,True
1709,"The FIRs alleged that tweets by the journalists were the reason for violence in #Delhi on #RepublicDay. 

#FarmersProtest #TractorRally 

Read more: https://t.co/KYekymcA3u",1084518784004542464,0,20,False
1710,"#FarmersProtest 
#Farmer 
#BOLLYdawood WHERE ARE YOU ? https://t.co/AX8nahhcTv",891509460698636290,2,95566,False
1711,"#FarmersProtest 
#Farmer 
#BOLLYdawood WHERE ARE YOU ? https://t.co/SkBzPoDgE0",891509460698636290,0,95566,False
1712,What are they planning now 🤔 #FarmersProtest #PeacefulProtest #PeacefulProtestContinues #TruthMatters #HumanRights #DelhiChalo #NoFarmersNoFood #KisanEktaMorcha #Tractor2Twitter #IStandWithFarmers #TakeBackFarmersBills #Farmers #RepublicDay2021 #RepublicDay #FarmersStandingFirm https://t.co/fhNFKBF6md,223383255,3,7628,False
1713,"#NATIONAL | Scuffle Breaks Out at Farmers’ Protest Site at Singhu 
#FarmersProtest #Singhu #DelhiHaryanaBorder #TearGas #NationalNews
https://t.co/rpktZ2Otnm 
@mygovindia",438156528,0,4,False
1714,"@ReallySwara Ajmal kasab was also a farmer who came to Mumbai to spread awareness about farming but the urban class was too weak as he take out that gun(to shower urea) people started sleeping while spilling out fake blood. Shame !!!
#FarmersProtest 
#TikriBorder 
#Ghazipur",1305367814933446658,0,18,False
1715,"Apke baccho ko roti kisan deta hai!
The sooner people understand this, the better is it for them!
#FarmersProtest https://t.co/bNLXFlDl9n",869263772262727680,0,6528,False
1716,"1st they came for students, then they came for farmers, if you don't speak, the next could be you.  #Youth4Farmers #FarmersProtest #SinghuBorder",2287043160,90,3302,False
1717,"The saddest part of the whole #FarmersProtest is that when we are fighting for our rights our only hurdle is our own countrymen. 

#ਖੜਾਂਗੇ_ਅੜਾਂਗੇ_ਲੜਾਂਗੇ_ਜਿੱਤਾਂਗੇ",47938611,22,14996,False
1718,@bainjal @pbhushan1 I’ve been saying it for 2 days now for #Farmers (or anybody) to protest is pointless. #FarmersProtest should instead demand that the Govt. hand over control of the #Biodiesel procurment mandate currently spoonfed to the OMC’s to #Farmers representatives instead.,102385392,0,981,False
1719,The last thing we want in #FarmersProtest is #kangana POVs.,904050223651094528,0,121,False
1720,"At protestors?! Masked Goons/henchmen being called ""locals"" came in to attack protestors, police officers have been injured and these idiots have to pin this also on farmers by using a vague term like protestors!

#SinghuBorder #farmersrprotest #FarmersProtest https://t.co/COJZVvuyPr",278108515,1,658,False
1721,".....- He was shouting slogans, even though he was blood shedded and his turban fell off✊🏼✊🏼 #FarmersProtest #StandWithFarmers 
📸 @_jk_photography https://t.co/UPQ33qK0o1",940211169603682304,0,563,False
1722,"https://t.co/rFUn8mJRhf

29TH JAN 2021 - FRIDAY - TRENDING - HASH-TAGS IN TWITTER:

#मोदी_कायर_है
#FarmerTikaitVsModiDakait
#राकेश_टिकैत_हीरो_है
#IamWithFarmers 

#Curfew #In #India
#Corona #Virus #Lockdown
#Lockdown #Without #Plan
#Modi #Made #Disaster #FAILED #POOR #PEOPLE",28278458,0,4311,False
1723,"A group of people, claiming to be locals, threw stones and vandalised tents pitched by farmers at the protest site. This sudden chaos prompted the police to use tear gas shells.

Follow live updates on #farmersProtest: https://t.co/a4BAtVan9R https://t.co/7NQatbubmL",414946220,3,198,True
1724,"#UttarPradesh  Congress chief #AjayKumarLallu to join farmers’ protest at #Ghazipur 
#FarmersProtest #FarmLaws
https://t.co/9b1CoAA3Vt",2590835076,11,335,True
1725,"After inspecting the damages at the #RedFort, @prahladspatel, said that the protestors have damaged the gates, the ticket counter and even two valuable brass kalash are missing from the monument

To read ore, click below!

#tourism #travel #farmersprotest 
https://t.co/BKKRpCboRu",1250024888020041728,0,185,False
